Number,Name,Type,TargetStat,Description,Weight,Value,ValueType
1000,,stat,health,increases health 50,1,50,Fixed
1001,,stat,health,increases health 5%,1,5,Percent
1002,,stat,healthRegen,increases healthregen 5,1,5,Fixed
1003,,stat,depense,increases depense 5%,1,5,Percent
1004,,stat,speed,increases speed 1,1,1,Fixed
1005,,stat,damage,increases damage 10,1,10,Fixed
1006,,stat,damage,increases damage 5%,1,5,Percent
1007,,stat,attackSpeed,increases attackSpeed 30%,1,30,Percent
1008,,stat,skillCooldown,increases skillcooldown 5,1,5,Fixed
1009,,stat,skillDamage,increases skilldamage 10,1,10,Fixed
1010,,stat,critProbability,increases critprobability 10%,1,10,Fixed
1011,,stat,critDamage,increases critdamage 20,1,20,Fixed
