Number,Name,Type,TargetStat,Description,Weight,Value,ValueType
2000,,stat,health,increases health 100,1,100,Fixed
2001,,stat,health,increases health 10%,1,10,Percent
2002,,stat,healthRegen,increases healthregen 7,1,7,Fixed
2003,,stat,depense,increases depense 8%,1,8,Percent
2004,,stat,speed,increases speed 1.5,1,1.5,Fixed
2005,,stat,damage,increases damage 15,1,15,Fixed
2006,,stat,damage,increases damage 7%,1,7,Percent
2007,,stat,attackSpeed,increases attackSpeed 45%,1,45,Percent
2008,,stat,skillCooldown,increases skillcooldown 10,1,10,Fixed
2009,,stat,skillDamage,increases skilldamage 20,1,20,Fixed
2010,,stat,critProbability,increases critprobability 20%,1,20,Fixed
2011,,stat,critDamage,increases critdamage 40,1,40,Fixed
